Day,BOLETOS,day_of_week,Día,Nombre,Tipo
2017-07-24,0.9410208309999999,0,Lunes,Vacaciones de Verano,Vacaciones escolares
2017-07-25,1.216270545,1,Martes,Vacaciones de Verano,Vacaciones escolares
2017-07-26,1.5468494240000001,2,Miércoles,Vacaciones de Verano,Vacaciones escolares
2017-07-27,1.36206332,3,Jueves,Vacaciones de Verano,Vacaciones escolares
2017-07-28,1.675043989,4,Viernes,Vacaciones de Verano,Vacaciones escolares
2017-07-29,2.277656302,5,Sábado,Vacaciones de Verano,Vacaciones escolares
2017-07-30,3.080336946,6,Domingo,Vacaciones de Verano,Vacaciones escolares
2017-07-31,1.132741837,0,Lunes,Vacaciones de Verano,Vacaciones escolares
2017-08-01,1.362842926,1,Martes,Vacaciones de Verano,Vacaciones escolares
2017-08-02,1.678635394,2,Miércoles,Vacaciones de Verano,Vacaciones escolares
