studio,film,total_gross,domestic_gross,international_gross,runtime_min,budget,rating,num_theaters,days_in_theater,open_date
Paramount,Rings,83080890,27793018,55287872,102,25000000,PG-13,2931,49,2017-02-03
Universal,Fifty Shades Darker,381128783,114581250,266547533,135,55000000,R,3714,56,2017-02-10
WB,The LEGO Batman Movie,311950384,175750384,136200000,104,80000000,PG,4088,119,2017-02-10
Universal,The Great Wall,334933831,45540830,289393001,104,150000000,PG-13,3328,105,2017-02-17
WB,Fist Fight,41087017,32187017,8900000,101,25000000,R,3185,56,2017-02-17
20th Century Fox,A Cure for Wellness,26620002,8106986,18513016,166,40000000,R,2704,35,2017-02-17
Universal,Get Out,255017329,176040665,78976664,103,4500000,R,3143,294,2017-02-24
20th Century Fox,Logan,619021436,226277068,392744368,155,97000000,R,4071,133,2017-03-03
WB,Kong: Skull Island,566652812,168052812,398600000,138,185000000,PG-13,3846,98,2017-03-10
Buena Vista,Beauty and The Beast (2017),1263521126,504014165,759506961,149,160000000,PG,4210,119,2017-03-17
Sony,Life (2017),100541806,30234022,70307784,103,58000000,R,3146,70,2017-03-24
WB,CHiPs,26800152,18600152,8200000,100,25000000,R,2464,63,2017-03-24
20th Century Fox,The Boss Baby,527965936,175003033,352962903,97,125000000,PG,3829,224,2017-03-31
Paramount,Ghost in the Shell (2017),169801921,40563557,129238364,120,110000000,PG-13,3440,56,2017-03-31
Sony,Smurfs: The Lost Village,197183546,45020282,152163264,81,60000000,PG,3610,119,2017-04-07
WB,Going in Style (2017),84918541,45018541,39900000,96,25000000,PG-13,3076,98,2017-04-07
Universal,The Fate of the Furious,1236005118,226008385,1009996733,136,250000000,PG-13,4329,119,2017-04-14
Buena Vista,Born in China,25081168,13873211,11207957,76,25000000,G,1508,77,2017-04-21
Buena Vista,Guardians of the Galaxy Vol. 2,863756051,389813101,473942950,157,200000000,PG-13,4347,140,2017-05-05
WB,King Arthur: Legend of the Sword,148675066,39175066,109500000,146,175000000,PG-13,3702,70,2017-05-12
20th Century Fox,Snatched,60845711,45852178,14993533,91,42000000,R,3511,84,2017-05-12
20th Century Fox,Alien: Covenant,240891763,74262031,166629732,142,97000000,R,3772,105,2017-05-19
WB,"Everything, Everything",61621140,34121140,27500000,96,10000000,PG-13,2801,70,2017-05-19
20th Century Fox,Diary of a Wimpy Kid: The Long Haul,40140972,20738724,19402248,90,22000000,PG,3174,91,2017-05-19
Paramount,Baywatch,177856751,58060186,119796565,116,69000000,R,3647,64,2017-05-25
Buena Vista,Pirates of the Caribbean: Dead Men Tell No Tales,794861794,172558876,622302918,149,230000000,PG-13,4276,119,2017-05-26
WB,Wonder Woman,821847012,412563408,409283604,161,149000000,PG-13,4165,161,2017-06-02
20th Century Fox,Captain Underpants: The First Epic Movie,125506758,73921000,51585758,89,38000000,PG,3529,161,2017-06-02
Universal,The Mummy (2017),409231607,80227895,329003712,127,125000000,PG-13,4035,77,2017-06-09
Buena Vista,Cars 3,383924982,152901115,231023867,102,175000000,G,4256,140,2017-06-16
Sony,Rough Night,47347283,22105643,25241640,101,20000000,R,3162,77,2017-06-16
Paramount,Transformers: The Last Knight,605425157,130168683,475256474,149,217000000,PG-13,4132,65,2017-06-21
Sony,Baby Driver,226945087,107825862,119119225,112,34000000,R,3226,114,2017-06-28
Universal,Despicable Me 3,1034799409,264624300,770175109,90,80000000,PG,4535,175,2017-06-30
WB,The House,34184504,25584504,8600000,88,40000000,R,3134,63,2017-06-30
Sony,Spider-Man: Homecoming,880166924,334201140,545965784,133,175000000,PG-13,4348,147,2017-07-07
20th Century Fox,War for the Planet of the Apes,490719763,146880162,343839601,160,150000000,PG-13,4100,140,2017-07-14
WB,Dunkirk,527268280,190068280,337200000,106,100000000,PG-13,4014,126,2017-07-21
Universal,Girls Trip,140073354,115171585,24901769,142,19000000,R,2648,91,2017-07-21
Paramount,Star Trek Beyond,343471816,158848340,184623476,120,185000000,PG-13,3928,91,2017-07-22
Sony,The Emoji Movie,217776646,86089513,131687133,86,50000000,PG,4075,126,2017-07-28
Sony,The Dark Tower,113231078,50701325,62529753,95,60000000,PG-13,3451,77,2017-08-04
WB,It,700381748,327481748,372900000,155,35000000,R,4148,98,2017-08-08
WB,Annabelle: Creation,306515884,102092201,204423683,129,15000000,R,3565,84,2017-08-11
WB,The LEGO Ninjago Movie,123081555,59281555,63800000,101,70000000,PG,4047,70,2017-08-22
Paramount,mother!,44516999,17800004,26716995,121,30000000,R,2368,42,2017-09-15
20th Century Fox,Kingsman: The Golden Circle,410902662,100234838,310667824,161,104000000,R,4038,105,2017-09-22
Universal,American Made,134866593,51342000,83524593,115,50000000,R,3098,77,2017-09-29
Sony,Flatliners (2017),45158254,16883115,28275139,108,19000000,PG-13,2552,56,2017-09-29
WB,Blade Runner 2049,259239658,92054159,167185499,163,150000000,R,4058,119,2017-10-06
20th Century Fox,The Mountain Between Us,62832209,30348555,32483654,103,35000000,PG-13,3259,77,2017-10-06
Paramount,Daddy's Home 2,180613180,104029443,76583737,100,69000000,PG-13,3575,98,2017-10-10
Universal,Happy Death Day,122637878,55683845,66954033,96,4800000,PG-13,3535,63,2017-10-13
WB,Geostorm,221600160,33700160,187900000,109,120000000,PG-13,3246,84,2017-10-20
Universal,The Snowman,43084060,6700035,36384025,119,35000000,R,1815,35,2017-10-20
Sony,Only the Brave,23482206,18343983,5138223,123,38000000,PG-13,2577,105,2017-10-20
Universal,Thank You for Your Service (2017),9536300,9536300,0,128,20000000,R,2083,35,2017-10-27
Buena Vista,Thor: Ragnarok,853977126,315058289,538918837,150,180000000,PG-13,4080,133,2017-11-03
20th Century Fox,Murder on the Orient Express,351715237,102826543,248888694,114,55000000,PG-13,3354,112,2017-11-10
WB,Justice League,657924295,229024295,428900000,119,300000000,PG-13,4051,119,2017-11-17
Sony,The Star,62812974,40852824,21960150,86,20000000,PG,2976,91,2017-11-17
Buena Vista,Coco,797732662,209718774,588013888,109,185000000,PG,3987,152,2017-11-22
Sony,"Roman J. Israel, Esq.",12302517,11962778,339739,129,22000000,PG-13,1669,98,2017-11-27
Buena Vista,Star Wars: The Last Jedi,1332757449,620181382,712576067,171,200000000,PG-13,4232,126,2017-12-15
20th Century Fox,Ferdinand,294556903,84322735,210234168,107,111000000,PG,3630,129,2017-12-15
Sony,Jumanji: Welcome to the Jungle,956618644,404134301,552484343,119,90000000,PG-13,3849,124,2017-12-20
20th Century Fox,The Greatest Showman,427690275,173524478,254165797,105,84000000,PG,3342,124,2017-12-20
Universal,Pitch Perfect 3,183897530,104897530,79000000,96,45000000,PG-13,3468,77,2017-12-22
20th Century Fox,The Post,174466835,81866835,92600000,115,50000000,PG-13,2851,122,2017-12-22
Paramount,Downsizing,55003890,24449754,30554136,135,68000000,R,2668,42,2017-12-22
WB,Father Figures,25601244,17501244,8100000,113,25000000,R,2902,56,2017-12-22
Sony,All the Money in the World,53913707,25113707,28800000,132,50000000,R,2123,88,2017-12-25
Universal,Insidious: The Last Key,166831020,67347895,99483125,103,10000000,PG-13,3150,56,2018-01-05
WB,Paddington 2,224353866,40442052,183911814,103,40000000,PG,3702,63,2018-01-12
20th Century Fox,Maze Runner: The Death Cure,284803018,58018509,226784509,162,62000000,PG-13,3793,87,2018-01-26
Sony,Proud Mary,21753365,20877013,876352,88,14000000,R,2125,56,2018-01-28
WB,12 Strong,62891735,45500164,17391571,149,35000000,R,3018,70,2018-01-29
Sony,A Fantastic Woman,1970615,1970615,0,104,0,R,190,80,2018-02-02
Universal,Fifty Shades Freed,368307760,100407760,267900000,105,55000000,R,3768,56,2018-02-09
Sony,Peter Rabbit,310609917,114276056,196333861,93,50000000,PG,3725,73,2018-02-09
WB,The 15:17 to Paris,56350957,36250957,20100000,94,30000000,PG-13,3042,63,2018-02-09
Sony,Pad Man,17837157,1670192,16166965,124,0,PG-13,152,28,2018-02-09
Buena Vista,Black Panther,1324656634,681374736,643281898,140,200000000,PG-13,4084,66,2018-02-16
WB,Game Night,108705293,68205293,40500000,100,37000000,R,3502,59,2018-02-23
Paramount,Annihilation,32732301,32732301,0,135,40000000,R,2112,56,2018-02-23
20th Century Fox,Red Sparrow,145083182,46644711,98438471,159,69000000,R,3064,52,2018-03-02
Buena Vista,A Wrinkle in Time,124256336,93718321,30538015,115,100000000,PG,3980,45,2018-03-09
WB,Tomb Raider,269300036,56700036,212600000,118,94000000,PG-13,3854,38,2018-03-16
20th Century Fox,"Love, Simon",53267098,40213391,13053707,109,17000000,PG-13,2434,38,2018-03-16
Universal,Pacific Rim Uprising,286415635,58715635,227700000,111,150000000,PG-13,3708,32,2018-03-23
Paramount,Sherlock Gnomes,57763745,39663745,18100000,86,59000000,PG,3662,32,2018-03-23
Sony,Paul Apostle of Christ,18386550,17011816,1374734,107,5000000,PG-13,1473,31,2018-03-23
WB,Ready Player One,521900064,126100064,395800000,160,175000000,PG-13,4234,25,2018-03-29
Paramount,A Quiet Place,207583628,132783628,74800000,95,17000000,PG-13,3808,18,2018-04-06
Universal,Blockers,68029515,48629515,19400000,102,21000000,R,3418,18,2018-04-06
WB,Rampage,283294360,65694360,217600000,107,120000000,PG-13,4115,10,2018-04-13
Universal,Truth or Dare,38635360,30735360,7900000,100,3500000,PG-13,3068,11,2018-04-13
